epoch,train_loss,train_ppl,train_tokens_per_sec,train_epoch_time_sec,train_cpu_mem_mb,train_gpu_mem_mb,val_loss,val_ppl,val_bpc
1,2.2683270164597653,9.663220873992081,75527.10542286815,2.4211175441741943,1411.6953125,487.19873046875,1.8490473984555942,6.353764033394565,2.6673781252865685
2,1.7462152965002582,5.732864373581106,88320.9651700273,2.0704030990600586,1477.29296875,487.19873046875,1.5863784316623082,4.886021785876117,2.288460063585588
3,1.5493363935786004,4.70834465789717,88108.38247910475,2.0753984451293945,1477.4921875,487.19873046875,1.4509893447637912,4.26733429225483,2.0931519881423832
4,1.4460396404353975,4.246264437031406,88793.48610878282,2.059385299682617,1477.578125,487.19873046875,1.383700949374496,3.989639792966434,1.9960838469487328
5,1.3957745280246772,4.038100984107926,87986.52336814842,2.078272819519043,1477.66796875,487.19873046875,1.3519956670790814,3.865131354410455,1.9503467952531077
6,1.3610927105301986,3.900453040150404,90537.43766339716,2.01971697807312,1477.73046875,487.19873046875,1.3330968445247944,3.792770840758559,1.9230839430855091
7,1.3387590063227144,3.8143070360949793,89375.91987506932,2.0459649562835693,1477.78515625,487.19873046875,1.3276884212812232,3.772313302166478,1.9152819203443707
8,1.322218110125109,3.751733913772867,81815.70333655595,2.235023260116577,1477.81640625,487.19873046875,1.3157954258455233,3.7277149270947225,1.8981254559423142
9,1.311366106577101,3.7112402003877953,79338.25305740762,2.3048150539398193,1477.9140625,487.19873046875,1.3060825886725544,3.691683505908346,1.8841140198745925
10,1.3025561166235984,3.678687815149148,86777.46960040885,2.107228994369507,1477.9140625,487.19873046875,1.3062814862482586,3.6924178458347328,1.8844009433158462
11,1.2946492999827954,3.6497157942829968,82839.03554363674,2.2074134349823,1477.9140625,487.19873046875,1.304494010238095,3.685823632770381,1.8818223861555659
12,1.2867464189024576,3.6209861972050374,85392.6347115182,2.14140248298645,1477.9140625,487.19873046875,1.2957137940342798,3.653602963602867,1.8691563200196168
13,1.2803243513657778,3.597806489787035,82498.52926879928,2.216524362564087,1478.74609375,487.19873046875,1.2893891789508685,3.6305682508201977,1.8600326274964076
14,1.2774364689859874,3.5874314359973423,85602.50239489767,2.136152505874634,1478.7578125,487.19873046875,1.2932359526159256,3.644561121604912,1.8655818632464873
15,1.2712676202248239,3.5653692331880213,86721.90429196128,2.108579158782959,1478.7578125,487.19873046875,1.3001401053293555,3.6698107916522815,1.875541578685271
16,1.266742308146581,3.5492712763447054,87103.87411857872,2.099332571029663,1478.8203125,487.19873046875,1.2896290987284125,3.6314394004461263,1.8603787282869981
17,1.2633011980682862,3.5370788329860674,88867.88143895508,2.057661294937134,1478.8203125,487.19873046875,1.2899172787894122,3.632486059679981,1.8607944478577867
18,1.2615355432626782,3.530839082990129,88149.17178418963,2.0744380950927734,1478.8203125,487.19873046875,1.291486852244553,3.6381919901425106,1.8630586655862076
19,1.256571020127438,3.513353590155655,86130.43586712942,2.123059034347534,1478.8203125,487.19873046875,1.2882569321852593,3.6264598779457375,1.8583992836148309
20,1.2533378265311599,3.502012581544185,77415.02081302836,2.3620738983154297,1478.8203125,487.19873046875,1.290258685746044,3.6337264274136625,1.8612869508886452
