epoch,train_loss,train_ppl,train_tokens_per_sec,train_epoch_time_sec,train_cpu_mem_mb,train_gpu_mem_mb,val_loss,val_ppl,val_bpc
1,5.901640268164409,365.63671853422625,26322.65096433074,2.279367685317993,1417.2890625,505.83544921875,5.339979209362097,208.50837522190307,2.5935996451067664
2,5.108332597143831,165.39434582391715,26262.89140716846,2.2845542430877686,1480.93359375,505.83544921875,4.823244114179869,124.36790071607092,2.3426241437173263
3,4.750997986093589,115.69969361453661,27283.96044371799,2.1990575790405273,1481.90234375,505.83544921875,4.600454965277174,99.52958784903448,2.2344166329999404
4,4.558504392223384,95.44063128364232,26343.005402924784,2.27760648727417,1482.40234375,505.83544921875,4.459030181541264,86.40367257323251,2.165727363898727
5,4.429829700145843,83.91712461923193,28181.059776257294,2.129054069519043,1482.59765625,505.83544921875,4.36415321787281,78.58282922501643,2.119646124693171
6,4.335324346646661,76.34971864939556,27602.349786621307,2.173691749572754,1482.64453125,505.83544921875,4.313232815934814,74.68153075116136,2.0949143549208205
7,4.266429934355177,71.26675392793163,27873.977498480053,2.1525094509124756,1482.7265625,505.83544921875,4.278914375265522,72.16205655403012,2.078246069886219
8,4.206701934316754,67.13475944176747,28178.4817160817,2.129248857498169,1482.75390625,505.83544921875,4.2463568779262335,69.85047443840614,2.062433065708843
9,4.156364439185432,63.83900959672377,26921.68655915353,2.228649377822876,1482.765625,505.83544921875,4.259500484642516,70.77462161270475,2.068816845940611
10,4.109133167428496,60.89390986073428,27314.474658349336,2.196600914001465,1482.765625,505.83544921875,4.223957634455449,68.30326945436579,2.051553871682276
11,4.066312140557275,58.341410451756154,28403.34628094267,2.112391948699951,1482.76953125,505.83544921875,4.221671692701734,68.14731048328079,2.05044360186872
12,4.023976071361431,55.92301827598681,23988.842979079473,2.5011210441589355,1482.84375,505.83544921875,4.2214877961703,68.13477958148637,2.050354284296504
13,3.981975933967383,53.62288489578079,27742.29172405567,2.162726879119873,1483.2890625,505.83544921875,4.2271272280483885,68.5201065207588,2.053093326518236
14,3.9325963963619697,51.0393240983656,29254.757433657927,2.0509142875671387,1483.2890625,505.83544921875,4.253083491771484,70.32191542999215,2.065700146459125
15,3.8925283771687447,49.034708160458415,29298.75584987729,2.0478343963623047,1483.2890625,505.83544921875,4.257130351730791,70.60707498502701,2.0676656849271127
16,3.8421738457406756,46.626723654448085,29391.101348675402,2.041400194168091,1483.2890625,505.83544921875,4.28256467319328,72.42595091302242,2.080019000273919
17,3.7998708678348083,44.69541250524325,29127.832576396104,2.0598511695861816,1483.2890625,505.83544921875,4.287580080252923,72.790108975647,2.0824549569434048
18,3.7489697859047606,42.47729873898025,28925.340109635217,2.0742712020874023,1483.29296875,505.83544921875,4.310699632906369,74.49258817902002,2.0936840013284232
19,3.6909060345885933,40.08114541507097,28816.11864011634,2.0821332931518555,1483.29296875,505.83544921875,4.339855856992103,76.69648327969291,2.1078450250846275
20,3.643968626074728,38.24330935216213,27998.668201144807,2.142923355102539,1483.29296875,505.83544921875,4.347135052053943,77.25680882737576,2.1113804916077843
