epoch,train_loss,train_ppl,train_tokens_per_sec,train_epoch_time_sec,train_cpu_mem_mb,train_gpu_mem_mb,val_loss,val_ppl,val_bpc,test_loss,test_ppl,test_bpc
1,0.41038920594846395,1.5074043617002146,72292.17243903117,2.5294578075408936,990.13671875,126.6904296875,0.0030406363188561357,1.0030452637423832,0.004386327149127168,,,
2,0.0017129251865648464,1.0017143930809236,78683.99478552245,2.323979616165161,999.79296875,126.6904296875,0.0009953238420092353,1.0009958193411648,0.0014358231411315428,,,
3,0.0007065727447448137,1.0007068224260691,80421.10295870893,2.2737812995910645,995.7890625,126.6904296875,0.0005101954705945324,1.0005103256424404,0.0007359920784187646,,,
4,0.00039740807940553,1.000397487056458,78966.6063847838,2.315662384033203,999.80859375,126.6904296875,0.0003130177048466688,1.0003130667000004,0.00045154958138595455,,,
5,0.00025629337914415243,1.0002563262250983,79255.45663753357,2.307222843170166,995.80859375,126.6904296875,0.00021178851123158682,1.0002118109400018,0.0003055195029170099,,,
6,0.00017901739912022226,1.000179033423691,79429.53820247235,2.302166223526001,999.87109375,126.6904296875,0.00015235852391586025,1.0001523701310653,0.00021978765619180856,,,
7,0.00013186145442966788,1.0001318701485333,79202.8549485776,2.3087551593780518,995.8515625,126.6904296875,0.00011427307217255945,1.0001142796015887,0.00016484677097892067,,,
8,0.00010023994098183554,1.0001002449651726,78952.55966861293,2.3160743713378906,999.94140625,126.6904296875,8.836589096734028e-05,1.0000883697953478,0.00012747387913615023,,,
9,7.838619396400587e-05,1.000078389266242,80501.67275070757,2.27150559425354,995.921875,126.6904296875,6.991712382760071e-05,1.0000699195680867,0.0001008602628772327,,,
10,6.25264422544191e-05,1.0000625283970732,80233.36879010842,2.279101610183716,999.95703125,126.6904296875,5.630573309571506e-05,1.0000563073182933,8.122489499900247e-05,,,
11,5.0666204795199014e-05,1.000050667488349,80243.37482121098,2.2788174152374268,995.9375,126.6904296875,4.599407442873451e-05,1.0000459951321723,6.634961771476465e-05,,,
12,4.165677595677067e-05,1.0000416576436124,73425.24346528432,2.490424156188965,1000.390625,126.6904296875,3.799189846992718e-05,1.0000379926201712,5.4805928177630615e-05,,,
13,3.462277350717561e-05,1.0000346233728823,69665.28034135305,2.6248369216918945,996.37890625,126.6904296875,3.167529776380191e-05,1.0000316757994314,4.569379694521273e-05,,,
14,2.894669179512996e-05,1.0000289471107546,70817.69423286291,2.582123041152954,1000.3984375,126.6904296875,2.6605055997353246e-05,1.000026605409915,3.837962425876048e-05,,,
15,2.4378157199910718e-05,1.0000243784543497,79985.19428860751,2.286173105239868,996.37890625,126.6904296875,2.249372952433655e-05,1.0000224939825102,3.244875287644979e-05,,,
16,2.0686702553037188e-05,1.0000206869165242,80529.46430931982,2.270721673965454,1000.4609375,126.6904296875,1.912549551987998e-05,1.0000191256784134,2.758984352029269e-05,,,
17,1.7616004740164518e-05,1.0000176161599028,70298.16640648316,2.601205825805664,996.44140625,126.6904296875,1.6331420650650326e-05,1.000016331554009,2.355919823082036e-05,,,
18,1.5080001712182714e-05,1.000015080115416,74488.03327791352,2.4548909664154053,1000.4609375,126.6904296875,1.4000661178422584e-05,1.0000140007591882,2.0196917287282906e-05,,,
19,1.2949633214072601e-05,1.000012949717061,79851.18054579501,2.2900099754333496,996.453125,126.6904296875,1.2040497559573703e-05,1.0000120405700466,1.7369246366966242e-05,,,
20,1.1142464439360635e-05,1.0000111425265168,79568.42883538245,2.298147678375244,1000.4765625,126.6904296875,1.0385296148898297e-05,1.0000103853500764,1.4981504419698316e-05,,,
