epoch,train_loss,train_ppl,train_tokens_per_sec,train_epoch_time_sec,train_cpu_mem_mb,train_gpu_mem_mb,val_loss,val_ppl,val_bpc,test_loss,test_ppl,test_bpc
1,0.538366294311147,1.7132057007716879,122508.07484970018,2.6124155521392822,970.9296875,127.99072265625,0.0061105241032381186,1.0061292314401131,0.01533131674849724,,,
2,0.003185296409221673,1.0031903748565174,138839.5552933951,2.3051211833953857,979.984375,127.99072265625,0.0017851105609523624,1.0017867048193112,0.004478845836897235,,,
3,0.0012466198170726895,1.0012473971705447,138694.00975541212,2.30754017829895,976.03515625,127.99072265625,0.0008908888467970123,1.0008912858061392,0.002235241833136776,,,
4,0.0006935420081493445,1.0006937825640165,138569.12105151018,2.309619903564453,980.0546875,127.99072265625,0.0005407727506461479,1.0005409189945904,0.0013567998733068952,,,
5,0.0004421646565247667,1.000442262425726,138479.79122168192,2.311109781265259,976.03515625,127.99072265625,0.00036287809643218105,1.0003629439446533,0.000910461843124931,,,
6,0.0003061086188706325,1.0003061554748949,138710.7636391593,2.3072614669799805,980.0546875,127.99072265625,0.00025983857518516846,1.0002598723361518,0.0006519354857844334,,,
7,0.000222213404636141,1.0002222380958636,142573.34707511638,2.244753360748291,976.03515625,127.99072265625,0.00019436015092295578,1.000194379040081,0.00048764999314976836,,,
8,0.00016799411788134548,1.0001680082296833,143531.41449298422,2.229769706726074,980.0546875,127.99072265625,0.00014996784760609096,1.000149979093346,0.0003762696185947353,,,
9,0.00013082083203613842,1.0001308293894544,143004.21983272274,2.237989902496338,976.03515625,127.99072265625,0.00011852510583018226,1.000118532130208,0.0002973797188965723,,,
10,0.00010404169379509013,1.0001040471063198,142714.37622575,2.24253511428833,980.12109375,127.99072265625,9.527953310670759e-05,1.0000952840723456,0.00023905653214488916,,,
11,8.418435689506543e-05,1.0000841879004976,139157.9162046223,2.2998476028442383,976.10546875,127.99072265625,7.770805072870911e-05,1.0000777110700776,0.0001949696490025784,,,
12,6.888786998123806e-05,1.000068890242805,139245.3644402887,2.298403263092041,981.33984375,127.99072265625,6.40714396734152e-05,1.0000640734922919,0.00016075536559045993,,,
13,5.715498014674046e-05,1.0000571566135237,137450.47564265243,2.3284168243408203,977.328125,127.99072265625,5.336179905058498e-05,1.0000533632228168,0.00013388485663294293,,,
14,4.7719472159379155e-05,1.0000477206107514,139686.5415161989,2.2911441326141357,981.34765625,127.99072265625,4.4786748870076635e-05,1.0000447877518115,0.00011237003920804081,,,
15,4.021160394287767e-05,1.0000402124124403,136353.84651940266,2.3471431732177734,977.328125,127.99072265625,3.785350807823598e-05,1.0000378542245314,9.497452470266767e-05,,,
16,3.4061644420625414e-05,1.000034062224525,138505.2246952733,2.310685396194458,981.34765625,127.99072265625,3.215433290970154e-05,1.0000321548498659,8.067528322390988e-05,,,
17,2.8981665868128057e-05,1.0000289820858406,138707.18034687504,2.307321071624756,977.328125,127.99072265625,2.7445779482801085e-05,1.0000274461561216,6.886151360359556e-05,,,
18,2.4803535657996552e-05,1.0000248038432682,138336.62379614674,2.3135015964508057,981.34765625,127.99072265625,2.3544381703418734e-05,1.0000235446588746,5.907289905809398e-05,,,
19,2.128807695672728e-05,1.0000212883035495,136770.2298396246,2.3399975299835205,977.328125,127.99072265625,2.0249019719686156e-05,1.0000202492247325,5.080482949155919e-05,,,
20,1.834610110136514e-05,1.0000183462693921,137117.10688886183,2.334077835083008,981.34765625,127.99072265625,1.7475865758206294e-05,1.0000174760184621,4.384698085902252e-05,,,
