epoch,train_loss,train_ppl,train_tokens_per_sec,train_epoch_time_sec,train_cpu_mem_mb,train_gpu_mem_mb,val_loss,val_ppl,val_bpc,test_loss,test_ppl,test_bpc
1,2.3756624985204446,10.758138076259419,23469.380406753775,2.5564799308776855,974.8203125,143.1669921875,0.17151332629375982,1.1870999622696992,0.08330311500589452,,,
2,0.05812299732291391,1.0598453458340054,26367.565146798916,2.275485038757324,979.94921875,143.1669921875,0.017421463919995186,1.017574102731381,0.008461512839024231,,,
3,0.011214065917815595,1.0112771792534232,26016.527460512425,2.306187868118286,983.96875,143.1669921875,0.0077559749928972025,1.0077861304782574,0.0037670360127559635,,,
4,0.005636157837066121,1.0056520708566983,25755.13272108095,2.3295938968658447,979.95703125,143.1669921875,0.004530378099225497,1.0045406557768137,0.002200380669975369,,,
5,0.003458587392267228,1.0034645752067788,26254.635900115263,2.2852725982666016,983.98046875,143.1669921875,0.002935109240081105,1.002939420890563,0.0014255670265677528,,,
6,0.002352974716230352,1.0023557451337193,26290.67435158983,2.282140016555786,979.99609375,143.1669921875,0.0020770008679293723,1.002079159328348,0.001008788330955239,,,
7,0.0017069916959658294,1.0017084494356228,24503.81861954531,2.448557138442993,984.0390625,143.1669921875,0.0015415064590267175,1.0015426951908424,0.0007487015301580324,,,
8,0.0012905948565116506,1.0012914280324459,23914.031147702997,2.5089454650878906,980.03125,143.1669921875,0.001187548271617915,1.001188253686277,0.0005767859115285417,,,
9,0.0010048837548873213,1.0010053888197308,24580.852238682342,2.4408836364746094,984.05078125,143.1669921875,0.0009376720473802699,1.0009381117992515,0.00045542235165415895,,,
10,0.0008011588525815585,1.000801479866057,26347.443082323836,2.2772228717803955,980.09765625,143.1669921875,0.0007549630261984511,1.000755248082515,0.0003666815468839513,,,
11,0.0006476811327284019,1.0006478909234433,26068.822210175866,2.3015615940093994,984.1171875,143.1669921875,0.0006135001686949737,1.0006136883984145,0.00029797378555530054,,,
12,0.0005311689678631785,1.0005313100630802,26532.446419447777,2.2613444328308105,980.9140625,143.1669921875,0.000506611145028123,1.0005067394941276,0.0002460583523711946,,,
13,0.000440315320084821,1.0004404122731048,26496.147059517192,2.2644424438476562,985.05859375,143.1669921875,0.00042180839027083293,1.0004218973639394,0.00020487010312539698,,,
14,0.0003681200222978825,1.0003681877867883,25800.970188644966,2.3254551887512207,981.046875,143.1669921875,0.00035537597870185784,1.0003554391322258,0.0001726042323581842,,,
15,0.00030981449172583637,1.0003098624891922,26001.67566259553,2.3075051307678223,985.06640625,143.1669921875,0.0002999552772939798,1.0003000002683764,0.0001456866909469675,,,
16,0.0002627963207195591,1.0002628308546977,26062.418275566626,2.3021271228790283,981.06640625,143.1669921875,0.0002556482091854765,1.0002556808899739,0.00012416698242067475,,,
17,0.00022373785752072942,1.0002237628887019,25702.11615923719,2.3343992233276367,985.08984375,143.1669921875,0.00021813480509417843,1.0002181585982208,0.00010594692055838147,,,
18,0.00019144358696263723,1.0001914619134555,26483.565793107166,2.2655181884765625,981.07421875,143.1669921875,0.00018736576555156885,1.0001873833196129,9.100256086910072e-05,,,
19,0.00016443627324858826,1.0001644497936337,26095.86029725678,2.2991769313812256,985.09765625,143.1669921875,0.0001613343060201027,1.000161347321099,7.835921872199017e-05,,,
20,0.00014157669054222838,1.0001415867129948,25739.1850568048,2.3310372829437256,981.08203125,143.1669921875,0.0001392287739947955,1.0001392384667704,6.762267879029598e-05,,,
