epoch,train_loss,train_ppl,train_tokens_per_sec,train_epoch_time_sec,train_cpu_mem_mb,train_gpu_mem_mb,val_loss,val_ppl,val_bpc,test_loss,test_ppl,test_bpc
1,4.251736976517866,70.22728962004744,7909.417697255239,7.585767030715942,972.4921875,1165.841796875,2.3825141590499084,10.832102285758978,1.1571745198071386,,,
2,1.2496179714169342,3.4890098013554716,8092.069182493887,7.414543628692627,1117.4765625,1165.841796875,0.4811038009109839,1.6178592114460775,0.23366957030742871,,,
3,0.27352318664760233,1.314587839743669,8136.450846216083,7.3740997314453125,997.3515625,1165.841796875,0.11711623159279803,1.124250095475944,0.056882733955739215,,,
4,0.06746933153611775,1.0697974500503373,8171.872703851093,7.342135906219482,998.3203125,1165.841796875,0.03994468192043743,1.0407532001316298,0.019400920638626435,,,
5,0.01844872630188909,1.0186199554184965,8172.629852719334,7.341455698013306,998.5078125,1165.841796875,0.016897692211786008,1.0170412657600107,0.00820711969192234,,,
6,0.008020348092342257,1.00805259724292,8166.723145234423,7.346765518188477,998.5234375,1165.841796875,0.011264614182036213,1.011328298851473,0.005471163500706558,,,
7,0.028596521175975716,1.0290093272317336,8186.2482120337245,7.329242706298828,998.5234375,1165.841796875,0.07371798949775997,1.076503177483343,0.035804437415068946,,,
8,0.04246334666529517,1.0433778123966164,8127.662079690114,7.382073640823364,998.4609375,1165.841796875,0.015164337807219755,1.015279899779125,0.007365238629792826,,,
9,0.007221991597462224,1.0072481330720569,8137.7408673880645,7.3729307651519775,998.46875,1165.841796875,0.007216841228518794,1.007242945385913,0.0035051815962620927,,,
10,0.004038594130181051,1.0040467602409568,8171.739228780114,7.3422558307647705,998.46875,1165.841796875,0.006147186811235269,1.0061661195385374,0.002985656105940035,,,
11,0.0014366613174599436,1.0014376938097185,8150.659653422616,7.3612446784973145,998.46875,1165.841796875,0.004078469731633611,1.0040867980076675,0.0019808911671413115,,,
12,0.0008392290791902109,1.000839581330447,8165.156335360243,7.348175287246704,998.53125,1165.841796875,0.003507722968555633,1.0035138822283212,0.0017036824844614941,,,
13,0.000661981936471974,1.0006622010948711,8169.834433605506,7.34396767616272,998.53515625,1165.841796875,0.0031763333173971463,1.0031813832093666,0.001542728284465764,,,
14,0.0005489105723757793,1.0005490612513526,8176.160819784945,7.338285207748413,998.5390625,1165.841796875,0.002891189045832729,1.0028953725636909,0.001404235220628153,,,
15,0.0004650289527776724,1.0004651370955036,8159.68927002061,7.353098630905151,998.6015625,1165.841796875,0.002677513828318435,1.00268110156983,0.0013004542981590963,,,
16,0.00040000226732918336,1.000400082278904,8156.986507754118,7.35553503036499,998.60546875,1165.841796875,0.0025091649133358934,1.0025123155021816,0.0012186881209823527,,,
17,0.00034669671015666195,1.000346756816407,8163.876147247032,7.349327564239502,998.6640625,1165.841796875,0.0023381542755572405,1.002340889889946,0.0011356291591282336,,,
18,0.00030245904240852503,1.0003025047877565,8151.980591568691,7.360051870346069,998.81640625,1165.841796875,0.0021751589908628162,1.0021775263653414,0.0010564632118533121,,,
19,0.00026462199388793494,1.0002646570093763,7743.307191519786,7.74849796295166,999.15625,1165.841796875,0.0020304209502019395,1.0020324836506334,0.0009861647113959776,,,
20,0.00023215040525474207,1.0002321773542455,6882.843623513713,8.717181921005249,999.15625,1165.841796875,0.0019063830109331253,1.0019082013143026,0.0009259201406487065,,,
