epoch,train_loss,train_ppl,train_tokens_per_sec,train_epoch_time_sec,train_cpu_mem_mb,train_gpu_mem_mb,val_loss,val_ppl,val_bpc
1,5.657744862889883,286.501812615337,3601.0508187604732,16.66152548789978,1721.08203125,4815.47607421875,5.131217390236884,169.22300313008017,2.4922051342356886
2,4.949043895270849,141.04005037685027,3653.055266665844,16.424334049224854,1475.15234375,4815.35107421875,4.698890668376816,109.82527220324418,2.2822263331159003
3,4.6461718738447635,104.18538640439913,3603.3526104133825,16.650882244110107,1475.40625,4815.35107421875,4.525999376964668,92.38821035669869,2.1982539477436056
4,4.490360089434324,89.15354334832425,3690.8158548329616,16.25629734992981,1475.45703125,4815.35107421875,4.429408788804948,83.88181038238714,2.151340410190408
5,4.375876687992,79.5095140426152,3732.626906362378,16.074202299118042,1475.51953125,4815.35107421875,4.347263269327782,77.26671511985444,2.1114427660592168
6,4.2927883367192425,73.17020749748536,3772.2773936948774,15.905246019363403,1475.62109375,4815.35107421875,4.3112647884105195,74.53469997398332,2.093958494366229
7,4.220929171042068,68.09672841066524,3786.1486103455686,15.84697437286377,1475.703125,4815.35107421875,4.2983051414549225,73.57498876770188,2.0876640624167906
8,4.157015472176166,63.88058442989258,3738.157731142738,16.050419569015503,1475.8125,4815.35107421875,4.3035447714606345,73.96150620642575,2.090208922984689
9,4.092417841448474,59.884508049680264,3658.1419838358515,16.401495695114136,1475.9140625,4815.35107421875,4.309751992537921,74.42202943274984,2.0932237374159746
10,4.027773268828919,56.13577269899987,3645.8791108509513,16.45666193962097,1475.92578125,4815.35107421875,4.356582011353697,77.99010903097675,2.1159688297504164
11,3.9464474272896055,51.75119001239078,3700.528732515099,16.213629007339478,1475.92578125,4815.35107421875,4.376413939276753,79.5522421080109,2.1256010922005855
12,3.866398377065573,47.7700262574423,3772.405644807238,15.904705286026001,1475.92578125,4815.35107421875,4.444192202262224,85.13108135930747,2.1585206358791216
13,3.7703103800968667,43.39353123432038,3790.6782370998058,15.828038215637207,1475.92578125,4815.35107421875,4.476117658639896,87.89277965866172,2.17402666110593
14,3.667842438285392,39.167308745560014,3788.815378443726,15.835820436477661,1475.92578125,4815.35107421875,4.562921809617298,95.86316495506061,2.2161869779053056
15,3.550946920859313,34.84629855687975,3754.0773479660784,15.982355833053589,1475.92578125,4815.35107421875,4.5914892238291785,98.64121968848625,2.230062019821508
16,3.4211074672092363,30.603288399157222,3758.410504156117,15.963929414749146,1475.92578125,4815.35107421875,4.7004941289241495,110.00151395490902,2.283005125418915
17,3.2905525748126774,26.857700445095432,3474.548443621998,17.26814317703247,1475.93359375,4815.35107421875,4.793306886840015,120.69985017959206,2.3280837908133307
18,3.1324283473759773,22.92959300771831,3250.0706434536614,18.460829496383667,1475.9921875,4815.35107421875,4.883160627185679,132.04735750027743,2.371725277031751
19,2.972017296894536,19.53128027263794,3497.373214004016,17.155446767807007,1475.9921875,4815.35107421875,5.005023404924884,149.1605742095689,2.430913383334113
20,2.7920971496353273,16.315199363829628,3751.326033989851,15.994077682495117,1475.9921875,4815.35107421875,5.070194113713044,159.20522826204802,2.4625664517370747
